Name,Team,Position,Expert Rank
Jonathan Taylor,IND,RB,1.50
Puka Nacua,LAR,WR,2.50
Bijan Robinson,ATL,RB,3.33
Christian McCaffrey,SF,RB,3.33
Ja'Marr Chase,CIN,WR,4.67
Jaxon Smith-Njigba,SEA,WR,6.33
Jahmyr Gibbs,DET,RB,7.83
CeeDee Lamb,DAL,WR,8.17
Amon-Ra St. Brown,DET,WR,8.67
Devon Achane,MIA,RB,10.17
Josh Jacobs,GB,RB,11.67
James Cook,BUF,RB,11.83
Rashee Rice,KC,WR,12.67
Justin Jefferson,MIN,WR,13.83
Saquon Barkley,PHI,RB,15.50
Javonte Williams,DAL,RB,16.83
Drake London,ATL,WR,17.00
Emeka Egbuka,TB,WR,19.83
Rome Odunze,CHI,WR,20.17
Derrick Henry,BAL,RB,20.50
Kyren Williams,LAR,RB,20.67
Josh Allen,BUF,QB,22.83
Trey McBride,ARI,TE,26.33
Garrett Wilson,NYJ,WR,26.67
Bucky Irving,TB,RB,27.17
Ashton Jeanty,LV,RB,27.67
Nico Collins,HOU,WR,28.17
Patrick Mahomes,KC,QB,28.17
Davante Adams,LAR,WR,28.50
Lamar Jackson,BAL,QB,29.00
George Pickens,DAL,WR,30.33
Quinshon Judkins,CLE,RB,31.17
Ladd McConkey,LAC,WR,33.83
Tyler Warren,IND,TE,36.33
Courtland Sutton,DEN,WR,36.33
Breece Hall,NYJ,RB,36.67
Zay Flowers,BAL,WR,39.00
Chris Olave,NO,WR,39.17
Michael Pittman,IND,WR,42.17
A.J. Brown,PHI,WR,43.17
Tetairoa McMillan,CAR,WR,45.67
DeVonta Smith,PHI,WR,46.00
Omarion Hampton,LAC,RB,46.00
Jaylen Warren,PIT,RB,46.33
D'Andre Swift,CHI,RB,46.33
Travis Etienne,JAX,RB,46.83
Jaylen Waddle,MIA,WR,49.00
Jalen Hurts,PHI,QB,49.33
Drake Maye,NE,QB,50.00
Deebo Samuel,WAS,WR,50.67
Tee Higgins,CIN,WR,53.17
DK Metcalf,PIT,WR,53.83
Brian Thomas,JAX,WR,54.00
Tucker Kraft,GB,TE,54.17
George Kittle,SF,TE,54.33
Jordan Addison,MIN,WR,55.50
Marvin Harrison,ARI,WR,56.17
Brock Bowers,LV,TE,57.33
Chase Brown,CIN,RB,58.33
J.K. Dobbins,DEN,RB,60.33
Xavier Worthy,KC,WR,61.50
David Montgomery,DET,RB,63.50
Jake Ferguson,DAL,TE,64.33
Keenan Allen,LAC,WR,65.83
Quentin Johnston,LAC,WR,66.33
Stefon Diggs,NE,WR,67.67
Jayden Daniels,WAS,QB,68.33
Tyrone Tracy,NYG,RB,68.67
Terry McLaurin,WAS,WR,69.83
Jacory Croskey-Merritt,WAS,RB,69.83
Travis Hunter,JAX,WR,71.83
Alvin Kamara,NO,RB,72.33
Dak Prescott,DAL,QB,73.17
Ricky Pearsall,SF,WR,74.67
Wan'Dale Robinson,NYG,WR,75.50
Kenneth Walker,SEA,RB,75.50
Khalil Shakir,BUF,WR,76.67
Rico Dowdle,CAR,RB,76.83
Woody Marks,HOU,RB,77.50
Sam LaPorta,DET,TE,81.33
Jameson Williams,DET,WR,82.50
Rhamondre Stevenson,NE,RB,86.67
Baker Mayfield,TB,QB,87.00
Justin Herbert,LAC,QB,89.67
Chuba Hubbard,CAR,RB,89.67
Matthew Golden,GB,WR,90.67
DJ Moore,CHI,WR,91.00
Chris Godwin,TB,WR,91.83
Bo Nix,DEN,QB,92.50
Daniel Jones,IND,QB,92.67
Jordan Mason,MIN,RB,93.83
Josh Downs,IND,WR,93.83
Jakobi Meyers,LV,WR,95.83
Caleb Williams,CHI,QB,97.17
Oronde Gadsden,LAC,TE,98.33
Dallas Goedert,PHI,TE,99.67
Kimani Vidal,LAC,RB,100.00
Jauan Jennings,SF,WR,101.17
Trey Benson,ARI,RB,101.17
Romeo Doubs,GB,WR,101.83
Isiah Pacheco,KC,RB,103.17
RJ Harvey,DEN,RB,104.00
Zach Charbonnet,SEA,RB,104.17
Jordan Love,GB,QB,105.00
Travis Kelce,KC,TE,105.17
Jared Goff,DET,QB,107.83
Troy Franklin,DEN,WR,108.67
Brandon Aiyuk,SF,WR,109.33
Dalton Kincaid,BUF,TE,109.50
TreVeyon Henderson,NE,RB,109.83
Keon Coleman,BUF,WR,112.33
Tony Pollard,TEN,RB,112.83
Chimere Dike,TEN,WR,113.50
Jaxson Dart,NYG,QB,114.67
Tre Tucker,LV,WR,114.67
Aaron Jones,MIN,RB,115.67
Kyler Murray,ARI,QB,117.00
Rashid Shaheed,NO,WR,117.50
Calvin Ridley,TEN,WR,117.67
Rachaad White,TB,RB,118.17
Darnell Mooney,ATL,WR,120.33
Brock Purdy,SF,QB,120.50
Kyle Pitts,ATL,TE,120.67
Zonovan Knight,ARI,RB,122.00
Jerry Jeudy,CLE,WR,123.17
Elic Ayomanor,TEN,WR,123.50
Cooper Kupp,SEA,WR,125.00
Matthew Stafford,LAR,QB,125.00
Sam Darnold,SEA,QB,126.83
Harold Fannin,CLE,TE,126.83
Christian Watson,GB,WR,127.50
Kendrick Bourne,SF,WR,128.50
Kayshon Boutte,NE,WR,128.80
Tez Johnson,TB,WR,129.00
Tyjae Spears,TEN,RB,131.33
Bhayshul Tuten,JAX,RB,131.33
Hunter Henry,NE,TE,132.17
Trevor Lawrence,JAX,QB,137.00
Nick Chubb,HOU,RB,138.00
Zach Ertz,WAS,TE,138.17
Luther Burden,CHI,WR,140.67
Kenneth Gainwell,PIT,RB,141.50
T.J. Hockenson,MIN,TE,143.17
Marquise Brown,KC,WR,143.50
David Njoku,CLE,TE,149.33
Jayden Higgins,HOU,WR,151.17
Justin Fields,NYJ,QB,151.17
Joe Mixon,HOU,RB,151.40
